gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,group
Pa05g1877,905.604256271665,-4.47734418216435,0.860271171159183,-5.20457308377694,1.94443091219997e-07,5.83692234096936e-05,Down
Pa05g0827,1101.66325020427,2.37559834911899,0.460211186020581,5.16197437454889,2.44358747231137e-07,7.23880636205502e-05,UP
Pa01g3004,138.635861955808,-7.1225729040389,1.38248429076686,-5.15201000952279,2.57709277235277e-07,7.53515151646107e-05,Down
Pa03g2312,377.818164802929,-3.07261133344016,0.597192532939597,-5.14509335593274,2.67387805998359e-07,7.717909056727e-05,Down
Pa07g0215,213.934824304753,-24.5319931267981,4.78499831925942,-5.12685511885299,2.946220609689e-07,8.39635579829598e-05,Down
Pa06g0440,21859.9632863525,3.06336346666385,0.598452789564175,5.11880556007559,3.07476758262411e-07,8.6531646693999e-05,UP
Pa01g1105,3651.83646533851,-4.75750132609198,0.930846108475779,-5.11094291824691,3.20554836842556e-07,8.90984147737445e-05,Down
Pa07g2874,1012.79831922047,-2.99309109999535,0.58659082532971,-5.10251945777194,3.35161274413815e-07,9.20222064896663e-05,Down
Pa12g1658,182.173556645511,-24.3105042059577,4.78504231317625,-5.08052021588514,3.76402674234406e-07,0.000102100359129077,Down
Pa07g3435,54.6891527869202,9.23160741096372,1.82090637281424,5.0697869746571,3.9826121252447e-07,0.00010674348736638,UP
Pa02g2550,1099.49919508159,-1.9600342962617,0.38678537880623,-5.06749842072915,4.03077846509591e-07,0.000106763466309611,Down
Pa07g0362,1487.29395641724,-1.89554680287286,0.374888529000063,-5.05629448820115,4.27481063417448e-07,0.000111910565834656,Down
Pa10g1688,603.741257153246,5.27408311972435,1.04711016419524,5.03679870568131,4.73382138669393e-07,0.000122502591609227,UP
Pa02g1281,238.824772678874,24.0305419067118,4.78496288534019,5.02209577849283,5.11106831095933e-07,0.000129246840971433,UP
Pa12g0048,154.722867258753,-24.0245457639613,4.78509496408736,-5.02070407050812,5.14824230420127e-07,0.000129246840971433,Down
Pa04g0899,2220.42336368593,-2.62538735456582,0.522983634360219,-5.02001818427364,5.16665882891931e-07,0.000129246840971433,Down
Pa10g1589,145.19436644225,-24.002111779052,4.78511778358321,-5.01599184483994,5.27605666419026e-07,0.000130533120590747,Down
Pa02g2208,168.774365929745,-3.84169215681182,0.767018806275595,-5.00860229942194,5.48267316737148e-07,0.000134170547489349,Down
Pa03g2177,354.189281515279,23.9043831151791,4.78488905434297,4.99580718459553,5.85901786045585e-07,0.00014183863237667,UP
Pa04g2672,170.152235453203,-3.27376893283496,0.655851853866043,-4.99162869409778,5.98722693674227e-07,0.000143400454525335,Down
Pa10g1803,11958.6354592407,2.36525856480697,0.475003063835726,4.97945959697001,6.37620618331283e-07,0.000151109374748532,UP
Pa10g1567,76.265597690027,-6.66880648823313,1.34061530779775,-4.97443707336752,6.54375159578332e-07,0.000152230646039602,Down
Pa02g4625,3789.13788650492,-2.3554701981311,0.473557153564739,-4.9739934882202,6.55875129512366e-07,0.000152230646039602,Down
Pa02g3230,621.266649091632,-3.46893503667073,0.698988535984498,-4.96279246094483,6.94868207292834e-07,0.000159635334887662,Down
Pa06g0791,58.6263497763039,-9.32200903724195,1.87986882207535,-4.95886145233824,7.09075116296566e-07,0.000159641171683009,Down
Pa01g3138,616.826207595184,-5.5863533568201,1.12624832323202,-4.96014355057046,7.04411056498036e-07,0.000159641171683009,Down
